plate,gould_english,gould_latin,birdnet_sci,birdnet_common,form,confidence,sci_synonyms,reason
1,Griffon Vulture,Vultur fulvus,Gyps fulvus,Eurasian Griffon,,high,,Vultur fulvus Linn. = Gyps fulvus (Eurasian Griffon); same species
2,Cinereous Vulture,Vultur cinereus,Aegypius monachus,Cinereous Vulture,,high,,Vultur cinereus Linn. is the Cinereous (Monk) Vulture
3,Egyptian Neophron,Neophron Percnopterus,,,,high,,"Neophron Percnopterus = Neophron percnopterus, which is not a BirdNET V2.4 label; blank"
4,Bearded Vulture or Læmmer-geyer,Gypaëtus barbatus,,,,high,,"Gypaëtus barbatus = Gypaetus barbatus, which is not a BirdNET V2.4 label; blank"
5,Imperial Eagle,Aquila Imperialis,Aquila heliaca,Imperial Eagle,,decided,,"Split: Imperial Eagle (A. heliaca) and Spanish Eagle (A. adalberti, described 1860). Gould's text gives SE Europe/Hungary/Turkey, so heliaca is probable, but an Iberian specimen would be adalberti; confirm on the plate (adalberti has white leading edge to the wing) | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml)."
6,Golden Eagle,Aquila chrysaëta,Aquila chrysaetos,Golden Eagle,,high,,"Aquila chrysaëta Briss. = Aquila chrysaetos (Golden Eagle); same species, older binomial"
7,Bonelli's Eagle,Aquila Bonelli,,,,high,Hieraaetus fasciatus,"Aquila Bonelli = Aquila fasciata, which is not a BirdNET V2.4 label; blank"
8,Spotted Eagle,Aquila nævia,,,,low,,"Aquila naevia then covered both Greater (Clanga clanga) and Lesser Spotted Eagle (C. pomarina, split by Brehm 1831); cannot tell which the plate shows without the figure; blank"
9,Booted Eagle,Aquila pennata,Hieraaetus pennatus,Booted Eagle,,high,Aquila pennata,"Aquila pennata Steph. = Hieraaetus pennatus (Booted Eagle); same species, older binomial"
10,Sea Eagle,Haliaëtus albicilla,Haliaeetus albicilla,White-tailed Eagle,,high,,Haliaëtus albicilla Selby. = Haliaeetus albicilla (White-tailed Eagle); same species
11,White-headed Eagle,Haliaëtus leucocephalus,Haliaeetus leucocephalus,Bald Eagle,,high,,Haliaëtus leucocephalus Savig. = Haliaeetus leucocephalus (Bald Eagle); same species
12,Osprey,Pandion haliaëtus,Pandion haliaetus,Osprey,,high,,"Pandion haliaëtus Savig. = Pandion haliaetus (Osprey); same species, older binomial"
13,Short-toed Eagle,Circaëtus brachydactylus,Circaetus gallicus,Short-toed Snake-Eagle,,high,,Circaetus brachydactylus Vieill. is a synonym of C. gallicus (Short-toed Eagle)
14,Common Buzzard,Buteo vulgaris,Buteo buteo,Common Buzzard,,high,,Buteo vulgaris Bechst. = Common Buzzard B. buteo
15,Rough-legged Buzzard,Buteo Lagopus,Buteo lagopus,Rough-legged Hawk,,high,,Rough-legged Buzzard; BirdNET calls it Rough-legged Hawk
16,Honey Buzzard,Pernis apivorus,Pernis apivorus,European Honey-buzzard,,high,,Pernis apivorus Cuv. = Pernis apivorus (European Honey-buzzard); same species
17,Goshawk,Astur palumbarius,Accipiter gentilis,Northern Goshawk,,high,Astur gentilis;Astur palumbarius,"Astur palumbarius = Goshawk (Falco palumbarius Linn.). Split since (Eurasian Astur gentilis vs American A. atricapillus); BirdNET V2.4 keeps one Accipiter gentilis Northern Goshawk, which Gould's European bird is"
18,Sparrow Hawk,Accipiter fringillarius,Accipiter nisus,Eurasian Sparrowhawk,,high,,Accipiter fringillarius Ray = Sparrowhawk A. nisus
19,Jer Falcon,Falco Islandicus,Falco rusticolus,Gyrfalcon,subspecies,high,,"Iceland Falcon (F. islandicus) is a pale form of the Gyrfalcon, F. rusticolus"
20,Lanner Falcon,Falco Lanarius,,,,low,,"Lanner (F. biarmicus) is not in BirdNET labels; and ""Falco lanarius"" of the 1830s was also applied to the Saker (F. cherrug, also absent). Blank"
21,Peregrine Falcon,Falco Peregrinus,Falco peregrinus,Peregrine Falcon,,high,,Falco Peregrinus Linn. = Falco peregrinus (Peregrine Falcon); same species
22,Hobby,Falco subbuteo,Falco subbuteo,Eurasian Hobby,,high,,Falco subbuteo Linn. = Falco subbuteo (Eurasian Hobby); same species
23,Red-footed Falcon,Falco rufipes,Falco vespertinus,Red-footed Falcon,,high,,Falco rufipes Bechst. = Red-footed Falcon F. vespertinus
24,Merlin,Falco Æsalon,Falco columbarius,Merlin,,high,Falco aesalon,"Falco aesalon Temm. = Merlin; Eurasian Merlin is sometimes split as F. aesalon, BirdNET keeps F. columbarius"
25,Lead-coloured Falcon,Falco concolor,,,,low,,"Sooty Falcon (F. concolor) is not in BirdNET labels; and Gould's dark European ""concolor"" may be a dark Eleonora's Falcon (described 1839), also absent. Blank"
26,Kestrel,Falco Tinnunculus,Falco tinnunculus,Eurasian Kestrel,,high,,Falco Tinnunculus Linn. = Falco tinnunculus (Eurasian Kestrel); same species
27,Lesser Kestrel,Falco Tinnunculoides,Falco naumanni,Lesser Kestrel,,high,Falco tinnunculoides,Falco tinnunculoides Natt. = Lesser Kestrel F. naumanni
28,Kite,Milvus vulgaris,Milvus milvus,Red Kite,,high,,Milvus vulgaris Flem. = Red Kite
29,Black Kite,Milvus ater,Milvus migrans,Black Kite,,high,,Milvus ater = Black Kite M. migrans
30,Swallow-tailed Kite,Nauclerus furcatus,Elanoides forficatus,Swallow-tailed Kite,,high,,Nauclerus furcatus = American Swallow-tailed Kite
31,Black-winged Kite,Elanus melanopterus,Elanus caeruleus,Black-winged Kite,,high,,Elanus melanopterus Leach = Black-winged Kite E. caeruleus
32,Marsh Harrier,Circus rufus,Circus aeruginosus,Eurasian Marsh-Harrier,,high,,Circus rufus Briss. = Marsh Harrier C. aeruginosus
33,Hen Harrier,Circus cyaneus,Circus cyaneus,Hen Harrier,,high,,European Hen Harrier; BirdNET already splits Northern Harrier (C. hudsonius) off
34,Pallid Harrier,Circus pallidus,Circus macrourus,Pallid Harrier,,high,Circus pallidus,Circus pallidus Sykes = Pallid Harrier C. macrourus
35,Ash-coloured Harrier,Circus cineraceus,Circus pygargus,Montagu's Harrier,,high,,Circus cineraceus Meyer = Montagu's Harrier C. pygargus (Gould's 'Ash-coloured Harrier')
36,Barn Owl,Strix flammea,Tyto alba,Barn Owl,,high,,"Strix flammea Linn. = Barn Owl; European bird is Western Barn Owl if split, BirdNET keeps Tyto alba"
37,Great Horned or Eagle Owl,Bubo maximus,Bubo bubo,Eurasian Eagle-Owl,,high,,Bubo maximus Sibb. = Eurasian Eagle-Owl
38,Eastern Great Horned Owl,Bubo Ascalaphus,,,,high,,"Bubo Ascalaphus = Bubo ascalaphus, which is not a BirdNET V2.4 label; blank. Bubo ascalaphus Savigny = Pharaoh Eagle-Owl"
39,Long-eared Owl,Otus vulgaris,Asio otus,Long-eared Owl,,high,,Otus vulgaris Flem. = Long-eared Owl
40,Short-eared Owl,Otus Brachyotus,Asio flammeus,Short-eared Owl,,high,Asio brachyotus,Otus brachyotus = Short-eared Owl
41,Scops-eared Owl,Scops Aldrovandi,Otus scops,Eurasian Scops-Owl,,high,,Scops Aldrovandi = Eurasian Scops Owl
42,Great Cinereous Owl,Surnia cinerea,Strix nebulosa,Great Gray Owl,,high,,"Strix cinerea Gmel. = Great Grey Owl (modern Strix nebulosa). Trap: Gould's ""nebulosa"" is plate 46, the Barred Owl"
43,Snowy Owl,Surnia Nyctea,Bubo scandiacus,Snowy Owl,,high,Nyctea scandiaca,Strix nyctea Linn. = Snowy Owl
44,Ural Owl,Surnia Uralensis,Strix uralensis,Ural Owl,,high,,Surnia Uralensis Dum. = Strix uralensis (Ural Owl); same species
45,Hawk Owl,Surnia funerea,Surnia ulula,Northern Hawk Owl,,high,,Surnia funerea = Northern Hawk Owl S. ulula
46,Barred Owl,Ulula nebulosa,Strix varia,Barred Owl,,high,,"Strix nebulosa Forster (as Gould/Cuvier used it) = the American Barred Owl, today Strix varia; the Great Grey Owl is his separate plate 42. Trap: modern Strix nebulosa is the Great Grey"
47,Tawny or Wood Owl,Syrnium Aluco,Strix aluco,Tawny Owl,,high,,Syrnium Aluco Savig. = Strix aluco (Tawny Owl); same species
48,Little Owl,Noctua nudipes,Athene noctua,Little Owl,,high,,Noctua nudipes Nilss. = Little Owl A. noctua (Gould's 'Little Owl')
49,Tengmalm's Owl,Noctua ? Tengmalmi,Aegolius funereus,Boreal Owl,,high,,Tengmalm's Owl = Boreal Owl A. funereus
50,Sparrow Owl,Noctua passerina,Glaucidium passerinum,Eurasian Pygmy-Owl,,high,,Sparrow Owl = Eurasian Pygmy Owl
51,European Goatsucker,Caprimulgus Europæus,Caprimulgus europaeus,Eurasian Nightjar,,high,,Caprimulgus Europæus Linn. = Caprimulgus europaeus (Eurasian Nightjar); same species
52,Red-collared Goatsucker,Caprimulgus ruficollis,Caprimulgus ruficollis,Red-necked Nightjar,,high,,Caprimulgus ruficollis Temm. = Caprimulgus ruficollis (Red-necked Nightjar); same species
53,Swift,Cypselus murarius,Apus apus,Common Swift,,high,,Cypselus murarius Temm. = Common Swift
53,White-bellied Swift,Cypselus alpinus,Apus melba,Alpine Swift,,high,Tachymarptis melba,Cypselus alpinus Temm. = Alpine Swift
54,Chimney Swallow,Hirundo rustica,Hirundo rustica,Barn Swallow,,high,,Hirundo rustica Linn. = Hirundo rustica (Barn Swallow); same species
55,Rufous Swallow,Hirundo rufula,Cecropis daurica,Red-rumped Swallow,,high,Hirundo daurica;Cecropis rufula,"Hirundo rufula Temm. = the European Red-rumped Swallow; some lists split it as Cecropis rufula, BirdNET keeps one C. daurica"
56,Rock Martin,Hirundo rupestris,Ptyonoprogne rupestris,Eurasian Crag-Martin,,high,Hirundo rupestris,Crag Martin
57,Martin,Hirundo urbica,Delichon urbicum,Common House-Martin,,high,Delichon urbica;Hirundo urbica,House Martin
58,Sand Martin,Hirundo riparia,Riparia riparia,Bank Swallow,,high,,Sand Martin (BirdNET: Bank Swallow)
59,Bee Eater,Merops Apiaster,Merops apiaster,European Bee-eater,,high,,Merops Apiaster Linn. = Merops apiaster (European Bee-eater); same species
60,Roller,Coracias garrulus,Coracias garrulus,European Roller,,high,,Coracias garrulus Linn. = Coracias garrulus (European Roller); same species
61,Kingsfisher,Alcedo Ispida,Alcedo atthis,Common Kingfisher,,high,Alcedo ispida,Alcedo ispida Linn. = Common Kingfisher A. atthis
62,Black and White Kingsfisher,Alcedo rudis,Ceryle rudis,Pied Kingfisher,,high,,Alcedo rudis Linn. = Pied Kingfisher
63,Pied Flycatcher,Muscicapa luctuosa,Ficedula hypoleuca,European Pied Flycatcher,,high,,Muscicapa luctuosa Temm. = Pied Flycatcher F. hypoleuca
63,White-collared Flycatcher,Muscicapa albicollis,Ficedula albicollis,Collared Flycatcher,,high,,Collared Flycatcher
64,Red-breasted Flycatcher,Muscicapa parva,Ficedula parva,Red-breasted Flycatcher,,high,,"Red-breasted Flycatcher; Taiga Flycatcher (F. albicilla) split, but that is the Asian form"
65,Spotted Flycatcher,Muscicapa grisola,Muscicapa striata,Spotted Flycatcher,,high,,Muscicapa grisola Linn. = Spotted Flycatcher M. striata
