volume,plate,gould_latin,gould_english,modern_sci,birdnet_sci,birdnet_common,confidence,reason
I,1,Aquila fucosa,Wedge-tailed Eagle,Aquila audax,,,high,Aquila fucosa Cuvier = Wedge-tailed Eagle; not in BirdNET
I,2,Aquila Morphnoides,Little Australian Eagle,Hieraaetus morphnoides,,,high,Little Eagle; not in BirdNET
I,3,Ichthyiaetus leucogaster,White-bellied Sea Eagle,Haliaeetus leucogaster,Haliaeetus leucogaster,White-bellied Sea-Eagle,high,Ichthyiaetus = Haliaeetus
I,4,Haliaster leucosternus,White-breasted Sea Eagle,Haliastur indus,Haliastur indus,Brahminy Kite,high,leucosternus Gould = Australian race of Brahminy Kite
I,5,Haliaster sphenurus,Whistling Eagle,Haliastur sphenurus,Haliastur sphenurus,Whistling Kite,high,Whistling Kite
I,6,Pandion leucocephalus,White-headed Osprey,Pandion haliaetus,Pandion haliaetus,Osprey,high,leucocephalus Gould = Eastern Osprey (cristatus); Clements lumps into Osprey
I,7,Falco hypoleucus,Grey Falcon,Falco hypoleucos,,,high,Grey Falcon; not in BirdNET
I,8,Falco melanogenys,Black-cheeked Falcon,Falco peregrinus,Falco peregrinus,Peregrine Falcon,high,melanogenys Gould = Australian Peregrine (macropus)
I,9,Falco subniger,Black Falcon,Falco subniger,,,high,Black Falcon; not in BirdNET
I,10,Falco frontatus,White-fronted Falcon,Falco longipennis,,,high,frontatus Gould = Australian Hobby; not in BirdNET
I,11,Ieracidea Berigora,Brown Hawk,Falco berigora,Falco berigora,Brown Falcon,high,Ieracidea = Falco
I,12,Ieracidea occidentalis,Western Brown Hawk,Falco berigora,Falco berigora,Brown Falcon,high,occidentalis Gould = W race of Brown Falcon
I,13,Tinnunculus Cenchroides,Nankeen Kestril,Falco cenchroides,,,high,Nankeen Kestrel; not in BirdNET
I,14,Astur Novae-Hollandiae,New Holland Goshawk,Accipiter novaehollandiae,Accipiter novaehollandiae,Gray Goshawk,high,"Grey Goshawk, grey morph"
I,15,Astur (albino),White Goshawk,Accipiter novaehollandiae,Accipiter novaehollandiae,Gray Goshawk,high,"Grey Goshawk, white morph"
I,16,Astur radiatus,Radiated Goshawk,Erythrotriorchis radiatus,,,high,Red Goshawk; not in BirdNET
I,17,Astur approximans,Australian Goshawk,Accipiter fasciatus,Accipiter fasciatus,Brown Goshawk,high,approximans Vig&Horsf = Brown Goshawk
I,18,Astur cruentus,West Australian Goshawk,Accipiter fasciatus,Accipiter fasciatus,Brown Goshawk,high,cruentus Gould = SW Australian Brown Goshawk
I,19,Accipiter torquatus,Collared Sparrow Hawk,Accipiter cirrocephalus,Accipiter cirrocephalus,Collared Sparrowhawk,high,torquatus Cuvier = Collared Sparrowhawk
I,20,Buteo melanosternon,Black-breasted Buzzard,Hamirostra melanosternon,,,high,Black-breasted Buzzard; not in BirdNET
I,21,Milvus affinis,Allied Kite,Milvus migrans,Milvus migrans,Black Kite,high,affinis Gould = Australian Black Kite
I,22,Milvus isurus,Square-tailed Kite,Lophoictinia isura,,,high,Square-tailed Kite; not in BirdNET
I,23,Elanus axillaris,Black-shouldered Kite,Elanus axillaris,,,high,Black-shouldered Kite (Australian); not in BirdNET (E. caeruleus is a different species)
I,24,Elanus scriptus,Letter-winged Kite,Elanus scriptus,,,high,Letter-winged Kite; not in BirdNET
I,25,Lepidogenys subcristatus,Crested Hawk,Aviceda subcristata,Aviceda subcristata,Pacific Baza,high,Pacific Baza
I,26,Circus assimilis,Allied Harrier,Circus approximans,Circus approximans,Swamp Harrier,high,TRAP: Gould misapplied assimilis J&S to the Swamp Harrier (text: 'resembles the Marsh Harrier'; Circus gouldi Bp. is the new name for it)
I,27,Circus Jardinii,Jardine’s Harrier,Circus assimilis,,,high,jardinii Gould = Spotted Harrier (true C. assimilis); not in BirdNET
I,28,Strix castanops,Chestnut-faced Owl,Tyto novaehollandiae,Tyto novaehollandiae,Australian Masked-Owl,high,castanops = Tasmanian race of Australian Masked-Owl (lumped)
I,29,Strix personata,Masked Barn Owl,Tyto novaehollandiae,Tyto novaehollandiae,Australian Masked-Owl,high,personata = Australian Masked-Owl
I,30,Strix tenebricosus,Sooty Owl,Tyto tenebricosa,Tyto tenebricosa,Sooty Owl,high,Sooty Owl
