volume,plate,figure,printed_name,printed_latin,scientific,common,ebird_code,taxonomy,wikidata,gbif,avibase,birdnet_label,form,confidence,caption_checked,reason,sources
I,1,,Wedge-tailed Eagle,Aquila fucosa,Aquila audax,Wedge-tailed Eagle,weteag1,eBird/Clements 2025,Q752465,5229181,5E574D70AC136CC1,,,high,yes,Aquila fucosa Cuvier = Wedge-tailed Eagle; not in BirdNET,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
I,2,,Little Australian Eagle,Aquila Morphnoides,Hieraaetus morphnoides,Little Eagle,liteag1,eBird/Clements 2025,Q27074631,2480684,1117758C10E72439,,,high,yes,Little Eagle; not in BirdNET,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
I,3,,White-bellied Sea Eagle,Ichthyiaetus leucogaster,Icthyophaga leucogaster,White-bellied Sea-Eagle,wbseag1,eBird/Clements 2025,Q45974,2480455,94383EEF1D9DD75A,Haliaeetus leucogaster_White-bellied Sea-Eagle,,high,yes,Ichthyiaetus = Haliaeetus,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,4,,White-breasted Sea Eagle,Haliaster leucosternus,Haliastur indus,Brahminy Kite,brakit1,eBird/Clements 2025,Q645755,2480437,D89A9DC9963D5DDC,Haliastur indus_Brahminy Kite,,high,yes,leucosternus Gould = Australian race of Brahminy Kite,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,5,,Whistling Eagle,Haliaster sphenurus,Haliastur sphenurus,Whistling Kite,whikit1,eBird/Clements 2025,Q606512,2480438,FEDDD1F2CDC5FBC5,Haliastur sphenurus_Whistling Kite,,high,yes,Whistling Kite,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,6,,White-headed Osprey,Pandion leucocephalus,Pandion haliaetus,Osprey,osprey,eBird/Clements 2025,Q25332,2480726,5BCF1891777ED3D3,Pandion haliaetus_Osprey,,high,yes,leucocephalus Gould = Eastern Osprey (cristatus); Clements lumps into Osprey,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,7,,Grey Falcon,Falco hypoleucus,Falco hypoleucos,Gray Falcon,gryfal1,eBird/Clements 2025,Q576912,2481044,121657ABAAB8FF6C,,,high,yes,Grey Falcon; not in BirdNET,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
I,8,,Black-cheeked Falcon,Falco melanogenys,Falco peregrinus,Peregrine Falcon,perfal,eBird/Clements 2025,Q30535,2481047,C7F1C08CB3F7F2DA,Falco peregrinus_Peregrine Falcon,,high,yes,melanogenys Gould = Australian Peregrine (macropus),List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,9,,Black Falcon,Falco subniger,Falco subniger,Black Falcon,blafal1,eBird/Clements 2025,Q286194,2481020,00BBD4CF0553CB3D,,,high,yes,Black Falcon; not in BirdNET,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
I,10,,White-fronted Falcon,Falco frontatus,Falco longipennis,Australian Hobby,aushob1,eBird/Clements 2025,Q665642,2481027,B72DDBE4282B0610,,,high,yes,frontatus Gould = Australian Hobby; not in BirdNET,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
I,11,,Brown Hawk,Ieracidea Berigora,Falco berigora,Brown Falcon,brofal1,eBird/Clements 2025,Q605547,2481059,9F5AA09D9FE2C13C,Falco berigora_Brown Falcon,,high,yes,Ieracidea = Falco,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk; pinned in Featherframe (gould_australia.yaml)
I,12,,Western Brown Hawk,Ieracidea occidentalis,Falco berigora,Brown Falcon,brofal1,eBird/Clements 2025,Q605547,2481059,9F5AA09D9FE2C13C,Falco berigora_Brown Falcon,,high,yes,occidentalis Gould = W race of Brown Falcon,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
I,13,,Nankeen Kestril,Tinnunculus Cenchroides,Falco cenchroides,Nankeen Kestrel,auskes1,eBird/Clements 2025,Q782104,2481009,,,,high,yes,Nankeen Kestrel; not in BirdNET,List of Plates (vol. I); engraved caption on the leaf; Gould's text and synonymy; crosswalk
