volume,plate,gould_latin,crosswalk_birdnet,ku_sci,ku_english,verdict,reason
I,26,Circus assimilis,Circus approximans_Swamp Harrier,Circus assimilis,Spotted Harrier,ku-error,"KU read the printed name: Jardine & Selby's assimilis is the Spotted Harrier, but Gould's Allied Harrier is the Swamp Harrier (his text compares it with the Marsh Harrier; Bonaparte renamed it Circus gouldi); the Spotted Harrier is Gould's Circus jardinii"
II,6,Podargus plumiferus,Podargus ocellatus_Marbled Frogmouth,Podargus strigoides,Tawny Frogmouth,ku-error,"Gould: Clarence River brushes, long tail, nasal plumes = Plumed Frogmouth, P. ocellatus plumiferus (Marbled Frogmouth), not Tawny"
II,15,Collocalia Ariel,Petrochelidon ariel_Fairy Martin,Hirundo fluvicola,Fairy Martin,same,"KU's English is Fairy Martin; its binomial Hirundo fluvicola (Streak-throated Swallow, India) is a slip; Gould's Collocalia ariel = Petrochelidon ariel"
II,23,Halcyon sordidus,Todiramphus sordidus_Torresian Kingfisher,Todiramphus chloris,Collared Kingfisher,same,Split: Torresian Kingfisher T. sordidus split from Collared T. chloris (Clements); Gould's Halcyon sordidus is the Australian daughter
II,40,Pardalotus melanocephalus,Pardalotus striatus_Striated Pardalote,Pardalotus melanocephalus,Black-headed Pardalote,same,"Lump: P. melanocephalus (Moreton Bay, black crown, no yellow rump) is now a race of Striated Pardalote; KU keeps the old species"
II,41,Pardalotus uropygialis,Pardalotus striatus_Striated Pardalote,Pardalotus melanocephalus,Black-headed Pardalote,same,"Gould's uropygialis (NW coast, black crown, yellow rump; 1839) = P. striatus uropygialis; KU files it under old P. melanocephalus, itself now in striatus. Not McCoy's Yellow-rumped (punctatus xanthopygus)"
II,55,Graucalus melanops,Coracina novaehollandiae_Black-faced Cuckooshrike,Coracina melanoptera,Black-headed Cuckooshrike,ku-error,Graucalus melanops (Latham) = Black-faced Cuckooshrike C. novaehollandiae melanops; KU's C. melanoptera is the Indian Black-headed Cuckooshrike
II,58,Graucalus Swainsonii,Coracina lineata_Barred Cuckooshrike,Coracina incerta,Black-shouldered Cicadabird,ku-error,"Gould: new name for Swainson's Ceblepyris lineatus, barred underparts, Moreton Bay = Barred Cuckooshrike; KU's Cicadabird is New Guinea"
II,63,Campephaga humeralis,Lalage tricolor_White-winged Triller,Lalage sueurii,White-shouldered Triller,same,Split: White-winged Triller L. tricolor split from White-shouldered L. sueurii; Gould's humeralis is the Australian bird (tricolor)
II,67,Pachycephala pectoralis,Pachycephala rufiventris_Rufous Whistler,Pachycephala pectoralis,Australian Golden Whistler,ku-error,"KU took the modern binomial; Gould's text describes Rufous Whistler (grey above, black band, orange-brown belly; female streaked buff below). Golden Whistler is his gutturalis/glaucura (II.64-65)"
II,77,Colluricincla Selbii,Colluricincla harmonica_Gray Shrikethrush,Colluricincla sp. ?,Colluricincla sp. ?,ku-error,"KU left it unresolved; Gould: permanent resident of Van Diemen's Land, 'Whistling Dick', syn. strigata Swainson = Tasmanian Grey Shrikethrush"
II,83,Rhipidura albiscapa,Rhipidura albiscapa_Gray Fantail,Rhipidura fuliginosa,New Zealand Fantail,same,Lump: Grey Fantail R. albiscapa was long lumped in New Zealand Fantail R. fuliginosa; Gould's albiscapa (Tasmania) is the Australian bird; plate shows Grey Fantail
III,3,Petroica multicolor,Petroica boodang_Scarlet Robin,Petroica multicolor,Pacific Robin,same,Split: Scarlet Robin P. boodang split from Pacific Robin P. multicolor (Norfolk Is.); Gould's birds are Australian
III,7,Petroica bicolor,Melanodryas cucullata_Hooded Robin,Petroica australis,New Zealand Robin,ku-error,"Petroica bicolor Vig. & Horsf., Gould's Pied Robin = Hooded Robin Melanodryas cucullata; KU's NZ Robin P. australis is a different bird"
III,38,Acrocephalus longirostris,Acrocephalus australis_Australian Reed Warbler,Acrocephalus arundinaceus,Great Reed Warbler,same,Lump: Australian Reed Warbler split from Clamorous/Great Reed Warbler; Gould's longirostris is the Perth reed-bed bird
III,41,Cysticola magna,Cisticola exilis_Golden-headed Cisticola,Cysticola magna,Great warbler,crosswalk-error,"Gould's own synonymy makes magna his Cysticola campestris (PZS 1845) = Rattling Cisticola C. chiniana campestris, an African bird (Natal) whose type locality 'Australia' was an error. Correct label: Cisticola chiniana_Rattling Cisticola (or none if the folio should not name an African bird)"
III,44,Cysticola isura,Cisticola exilis_Golden-headed Cisticola,Cysticola isura,Square-tailed warbler,same,"KU gives only Gould's name; Gould's isura (Liverpool Plains, Port Phillip) can only be Golden-headed Cisticola there (Zitting Cisticola is tropical)"
III,45,Cysticola ruficeps,Cisticola exilis_Golden-headed Cisticola,Cisticola ruficeps,Red-pate Cisticola,ku-error,"KU matched Cretzschmar's African Red-pate Cisticola C. ruficeps (homonym); Gould's ruficeps is from Liverpool Plains, Port Phillip and the north coast = Golden-headed Cisticola, breeding male (uniform rufous head)"
III,54,Acanthiza Diemenensis,Acanthiza pusilla_Brown Thornbill,Acanthiza ewingii,Tasmanian Thornbill,ku-error,"diemenensis Gould = Tasmanian race of Brown Thornbill (A. pusilla diemenensis); Gould's text keeps it apart from A. ewingii, which is III.55"
III,57,Acanthiza apicalis,Acanthiza apicalis_Inland Thornbill,Acanthiza pusilla,Brown Thornbill,same,"KU uses the old lump of apicalis in A. pusilla; Gould's Western Acanthiza is from Swan River/King George's Sound, where no Brown Thornbill occurs = Inland Thornbill"
III,58,Acanthiza pyrrhopygia,Acanthiza apicalis_Inland Thornbill,Acanthiza pusilla,Brown Thornbill,same,"KU uses the old lump of apicalis in A. pusilla; Gould: Murray belts, red rump, streaked throat, white tail tips, 'most nearly allied to apicalis' = Inland Thornbill (SE inland form); plate agrees"
IV,2,Pitta Vigorsii,Pitta elegans_Elegant Pitta,Pitta versicolor,Noisy Pitta,ku-error,Gould's Vigors' Pitta is one Linnean Soc. skin (no locality) = P. elegans vigorsii of the Banda Sea; Noisy Pitta is Gould's P. strepitans (IV.1)
IV,7,Oreocincla lunulata,Zoothera lunulata_Bassian Thrush,Zoothera dauma,Scaly Thrush,same,Split: Bassian Thrush Z. lunulata split from Scaly Thrush Z. dauma; Gould's bird is Australian
IV,15,Sphecotheres Australis,Sphecotheres vieilloti_Australasian Figbird,Sphecotheres viridis,Green Figbird,same,Split: Australasian Figbird S. vieilloti split from Green Figbird S. viridis (Timor); Gould's australis is the Australian daughter
IV,29,Glyciphila albifrons,Purnella albifrons_White-fronted Honeyeater,Gliciphila melanops,Tawny-crowned Honeyeater,ku-error,Gould's Glyciphila albifrons = White-fronted Honeyeater; Tawny-crowned is his G. fulvifrons
