id,final,decision,birdnet_sci,birdnet_common,confidence,evidence
I.33,"out: the Tasmanian Boobook, a species of its own since 2022; BirdNET's Morepork is the New Zealand bird",pin,Ninox novaeseelandiae,Morepork,medium,"Gould drew a live pair kept at Hobart: small dark boobooks, heavily white-spotted, yellow irides, i.e. the Tasmanian Boobook (leucopsis). eBird/Clements 2021 still held leucopsis inside Morepork (split as Ninox leucopsis only in the 2022 update, 'Morepork no longer occurs in Australia'), so under BirdNET V2.4's taxonomy the figure is its Morepork, not Southern Boobook."
IV.2,out,out,,,high,"The figure has a white throat and a thin grey-green stripe over the eye, and Gould's text describes one Linnean Society skin with no locality: this is Pitta vigorsii, the Banda Sea Pitta. eBird/Clements 2021 split it from Elegant Pitta (Elegant -> Ornate/Elegant/Banda Sea), so BirdNET's Pitta elegans is a different species. It is not in labels.txt."
IV.8,out: the fold runs along the female's side of the crop and takes the male; a weak plate,pin,Chlamydera maculata,Spotted Bowerbird,medium,"Full-res seam at x=0.479. The male's bill tip runs to x~0.474, into the seam, so no crop keeps both birds without the crease. The right page alone holds the female at her bower, intact (x 0.52-0.64) with the bone and shell pile. Identity is certain (caption and text). Keep the right page only, and say so if the lone female is too plain."
IV.10,out: the bird in the bower loses the back of its head in the binding,pin,Ptilonorhynchus violaceus,Satin Bowerbird,medium,"Full-res seam at x=0.479. The right page holds the glossy blue-black adult male and the scaly green female in the foreground, both intact. The third bird, inside the bower, has the back of its head lost in the binding and will touch the crop's left edge. The immature male on the left page is dropped. Identity is certain."
IV.18,pin,pin,Corvus coronoides,Australian Raven,medium-high,"The figure shows a white eye, a long heavy bill and a long, shaggy throat hackle that stands out from the throat: raven, and the Australian Raven's hackle rather than the short throats of Little and Forest Raven or Torresian Crow. Vigors & Horsfield's coronoides (NSW type) is the Australian Raven by name. Gould's text lumps every Australian corvid, but his figure is this bird."
IV.80,pin,pin,Manorina melanophrys,Bell Miner,high,"Olive-green miner with black lores and a red spot behind the eye, yellow-orange bill and orange legs: unmistakably the Bell Miner. The engraved plate name viridis is Gould's synonym, and the text leaf is Myzantha melanophrys, Australian Bell-bird."
V.10,pin,pin,Calyptorhynchus lathami,Glossy Black-Cockatoo,high,"Brown heads with no crest, a very bulbous bill, red tail panels (barred in the female) and irregular yellow head patches on the female. They are feeding on Allocasuarina cones, the Glossy's specialist food. Gould's synonymy includes Temminck's Cookii and Solandri, both Glossy names. The Red-tailed, with its crest and slimmer bill, is ruled out."
V.79,pin,pin,Megapodius reinwardt,Orange-footed Scrubfowl,high,"Dark slaty megapode with a short brown crest and large orange legs and feet: the Orange-footed Scrubfowl. Text leaf 325 is Megapodius tumulus, Gould's name for the Australian scrubfowl."
V.84,pin,pin,Turnix maculosus,Red-backed Buttonquail,medium-high,"Slender-billed buttonquails with a chestnut hindneck and buff breast, boldly black-spotted along the sides, yellow legs. Gould's Hemipodius melanotus (Moreton Bay; the figured pair are Bynoe's northern birds) is the protonym of Turnix maculosus melanotus (Avibase; Wikipedia), which BirdNET does not split. The eye is painted reddish where the living bird's is yellowish, but nothing else fits Painted or Little Buttonquail."
VI.2,out,out,,,medium,"Two brown kiwis drawn from New Zealand Company skins with no locality (Wellington/Nelson/New Plymouth era). Shaw's australis type is South Island. The plate cannot tell North Island Brown Kiwi from tokoeka, and BirdNET knows only Apteryx mantelli."
VI.19,out,out,,,medium,"Two winter-plumaged sand-plovers. Gould says his specimens differed in size by a third (the classic mix of Lesser and Greater Sand-Plover in NW Australia and Torres Strait) and gives 'light ash-grey' legs. The bill and leg proportions on the plate do not settle which, and no source pins Hiaticula inornata to either."
VI.53,pin,pin,Egretta novaehollandiae,White-faced Heron,high,"Blue-grey heron with a white face and throat, vinous breast plumes and yellow legs: unmistakable. Text leaf 221 is Ardea novae-hollandiae, White-fronted Heron."
VI.55,pin,pin,Ardea cinerea,Gray Heron,high,"White neck with a line of black streaks, a black eye-stripe ending in a crest, grey back, yellow bill; an adult and a young bird. This is a Grey Heron (Gould compares it with the Common Heron and cites Indian skins; his 'upturned bill' suggests the Asian race). No Australian heron looks like this."
VII.2,pin,pin,Anseranas semipalmata,Magpie Goose,high,"Pied goose with a black head and neck, a bare knob on the head, a red-brown face and bill, and half-webbed yellow feet: unmistakable. Text leaf 17 is Anseranas melanoleuca, Semipalmated Goose."
VII.8,pin,pin,Radjah radjah,Radjah Shelduck,high,"White head and body, a chestnut-brown back and breast band, a green speculum, a pale pink bill and a white eye: unmistakable. Text leaf 41 is Tadorna radjah."
VII.14,pin,pin,Dendrocygna arcuata,Wandering Whistling-Duck,high,"Whistling-ducks with a dark crown and hindneck stripe, a rufous breast and flanks with black-edged buff flank plumes, and a scalloped back. That is the Wandering, not the Plumed, which has pale flanks. Text leaf 65 is Dendrocygna arcuata."
VII.18,pin,pin,Biziura lobata,Musk Duck,high,Dark vermiculated stiff-tailed duck; the male has the large lobe hanging under the bill: unmistakable. Text leaf 81 is Biziura lobata.
