volume,plate,leaf,gould_english,gould_latin,text_leaf,survey_tier,modern_sci,form,confidence,birdnet_sci,birdnet_common,ku_id,ku_sci,ku_english,decision,reason
I,1,28,Black Vulture,Otogyps calvus,yes,not_in_birdnet,,,none,,,ku-gould:17730,Sarcogyps calvus,Red-headed Vulture,left out (not in BirdNET),
I,2,32,Bengal Vulture,Gyps Bengalensis,yes,not_in_birdnet,,,none,,,ku-gould:17726,Gyps bengalensis,White-rumped Vulture,left out (not in BirdNET),
I,3,36,Shaheen Falcon,Falco Peregrinator,yes,form,Falco peregrinus,subspecies,medium,Falco peregrinus,Peregrine Falcon,ku-gould:17722,Falco peregrinus,"Peregrine Falcon ,faucon pélerin, Halcón peregrino,",left out (form),
I,4,40,Red-naped Falcon,Falco Babylonicus,yes,form,Falco peregrinus,subspecies,medium,Falco peregrinus,Peregrine Falcon,ku-gould:17718,Falco pelegrinoides,Barbary Falcon,left out (form),
I,5,44,Saker Falcon,Falco sacer,yes,not_in_birdnet,,,none,,,ku-gould:17714,Falco cherrug,Saker Falcon,left out (not in BirdNET),
I,6,48,Lanner Falcon,Falco lamas,genus only,not_in_birdnet,,,none,,,ku-gould:17710,Falco biarmicus,Lanner Falcon,left out (not in BirdNET),
I,7,52,Jugger Falcon,Falco ducer,genus only,not_in_birdnet,,,none,,,ku-gould:17706,Falco jugger,Laggar Falcon,left out (not in BirdNET),
I,8,56,White-winged Red-footed Kestrel,Erythropus amurensis,genus only,probable,Falco amurensis,,high,Falco amurensis,Amur Falcon,ku-gould:17702,Falco amurensis,Amur Falcon,pinned,
I,9,60,Rufous-breasted Spilornis,Spilornis rufipectus,yes,form,Spilornis cheela,subspecies,low,Spilornis cheela,Crested Serpent-Eagle,ku-gould:17698,Spilornis rufipectus,Sulawesi Serpent Eagle,left out (form),the survey's form assignment; the Kansas catalogue reads Spilornis rufipectus (Sulawesi Serpent Eagle)
I,10,64,Black-and-white Crested Eagle,Spizaetus alboniger,yes,not_in_birdnet,,,none,,,ku-gould:17694,Spizaetus alboniger,Blyth's Hawk-Eagle,left out (not in BirdNET),
I,11,68,Govinda Kite,Milvus Govinda,yes,form,Milvus migrans,subspecies,medium,Milvus migrans,Black Kite,ku-gould:17690,Milvus migrans,Black Kite,left out (form),
I,12,72,Celebean Elanus,Elanus hypoleucus,yes,form,Elanus caeruleus,subspecies,medium,Elanus caeruleus,Black-winged Kite,ku-gould:17686,Elanus caeruleus,"Black-shouldered Kite, Black-winged Kite",left out (form),
I,13,76,Indian Scops Owl,Scops pennatus,yes,form,Otus sunia,subspecies,medium,Otus sunia,Oriental Scops-Owl,ku-gould:17682,Otus sunia,"Oriental Scops Owl, Oriental Scops-Owl",left out (form),
